COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,id
03014,No aplica,Calle,23737
03014,No aplica,Calle,23738
03014,No aplica,Calle,23739
03014,No aplica,Calle,23740
03014,No aplica,Calle,23741
03014,No aplica,Calle,23742
03014,No aplica,Calle,23743
03014,No aplica,Calle,23744
03014,No aplica,Calle,23745
03014,No aplica,Calle,23746
03014,No aplica,Calle,23747
03014,No aplica,Calle,23748
03014,No aplica,Calle,23749
03014,No aplica,Calle,23750
03014,No aplica,Calle,23751
03014,No aplica,Calle,23752
03014,No aplica,Calle,23753
03014,No aplica,Calle,23754
03014,No aplica,Calle,23755
03014,No aplica,Calle,23756
03014,No aplica,Calle,23757
03014,No aplica,Calle,23758
03014,No aplica,Calle,23759
03014,No aplica,Calle,23760
03014,No aplica,Calle,23761
03014,No aplica,Calle,23762
03014,No aplica,Calle,23763
03014,No aplica,Calle,23764
03014,No aplica,Calle,23765
03014,No aplica,Calle,23766
03014,No aplica,Calle,23767
03014,No aplica,Calle,23768
03014,No aplica,Calle,23769
03014,No aplica,Calle,23770
03014,No aplica,Calle,23771
03014,No aplica,Calle,23772
03014,No aplica,Calle,23773
03014,No aplica,Calle,23774
03014,No aplica,Calle,23775
03014,No aplica,Calle,23776
03014,No aplica,Calle,23777
03014,No aplica,Calle,23778
03014,No aplica,Calle,23779
03014,No aplica,Calle,23780
03014,No aplica,Calle,23781
03014,No aplica,Calle,23782
03014,No aplica,Calle,23783
03014,No aplica,Calle,23784
03014,Recta,Carretera,23785
03014,No aplica,Calle,23786
03014,No aplica,Calle,23787
03014,No aplica,Calle,23788
03014,No aplica,Calle,23789
03014,No aplica,Calle,23790
03014,Curva señalizada,Carretera,23791
03014,No aplica,Calle,23792
03014,Recta,Carretera,23793
03014,Curva señalizada,Carretera,23794
03014,Recta,Carretera,23795
03014,Recta,Carretera,23796
03065,Recta,Carretera,23797
03014,No aplica,Calle,23798
03014,No aplica,Calle,23799
03014,No aplica,Calle,23800
03014,No aplica,Calle,23801
03014,No aplica,Calle,23802
03014,No aplica,Calle,23803
03014,No aplica,Calle,23804
03014,No aplica,Calle,23805
03014,No aplica,Calle,23806
