KM,TOTAL_HL24H,TOTAL_HG24H,TOTAL_MU24H,id,COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,TIPO_ACCIDENTE,CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,PRIORI_AGENTE,PRIORI_CIRCUNSTANCIAL,PRIORI_HORIZ_CEDA,PRIORI_HORIZ_STOP,PRIORI_SEMAFORO,PRIORI_VERT_CEDA,PRIORI_VERT_STOP,ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA
2.6,1,0,0,9734,03047,Recta,Carretera,Colisión contra obstáculo o elemento de la vía     ,,CV-746,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Seco y limpio,Sin luz natural y con iluminación artificial encen,Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,12,LUNES,17,Tarde,Dias laborables
50.5,3,1,0,9735,03048,Curva señalizada,Carretera,Múltiple o en caravana                             ,,CV-715,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,1,LUNES,11,Mañana,Dias laborables
51.0,1,0,0,9736,03048,Recta,Carretera,Fronto-lateral                                     ,,CV-715,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,No,No,No,No,No,No,No,2019,4,JUEVES,8,Mañana,Dias laborables
11.8,1,0,0,9737,03048,Curva señalizada,Carretera,Fronto-lateral                                     ,,CV-755,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,4,SÁBADO,12,Tarde,Fines de semana
13.4,1,0,0,9738,03048,Recta,Carretera,Fronto-lateral                                     ,,CV-755,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2019,4,SÁBADO,11,Mañana,Fines de semana
,1,0,0,9739,03048,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,No,No,No,No,No,No,Sí,2019,7,MIÉRCOLES,10,Mañana,Dias laborables
12.9,1,0,0,9740,03048,Recta,Carretera,Lateral                                            ,,CV-755,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2019,8,LUNES,21,Noche,Dias laborables
,1,0,0,9741,03048,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,"Provincial, Cabildo/Consell",Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,10,DOMINGO,11,Mañana,Fines de semana
,1,0,0,9742,03048,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,"Provincial, Cabildo/Consell",Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Se desconoce,,No,No,No,No,No,No,Sí,2019,9,LUNES,20,Noche,Dias laborables
0.5,1,0,0,9743,03049,Recta,Carretera,Por alcance                                        ,,CV-913,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,1,MARTES,14,Tarde,Dias laborables
1.6,1,0,0,9744,03049,Recta,Carretera,Atropello a personas                               ,,CV-913,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,2,SÁBADO,17,Tarde,Fines de semana
,1,0,0,9745,03049,No aplica,Calle,Fronto-lateral                                     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2019,3,SÁBADO,10,Mañana,Fines de semana
2.1,1,0,0,9746,03049,Recta,Carretera,"Salida de la vía por la izquierda, otro tipo       ",,CV-913,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,4,LUNES,9,Mañana,Dias laborables
0.0,1,0,0,9747,03049,Curva señalizada,Carretera,Por alcance                                        ,,CV-913,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2019,4,MIÉRCOLES,16,Tarde,Dias laborables
1.8,1,0,0,9748,03049,Recta,Carretera,Por alcance                                        ,,CV-911,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,5,MIÉRCOLES,12,Tarde,Dias laborables
