ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA,id
2018,5,SÁBADO,10,Mañana,Fines de semana,7217
2018,5,LUNES,11,Mañana,Dias laborables,7218
2018,5,MARTES,23,Noche,Dias laborables,7219
2018,5,MARTES,20,Noche,Dias laborables,7220
2018,5,LUNES,13,Tarde,Dias laborables,7221
2018,5,JUEVES,19,Noche,Dias laborables,7222
2018,6,SÁBADO,21,Noche,Fines de semana,7223
2018,6,DOMINGO,21,Noche,Fines de semana,7224
2018,6,SÁBADO,13,Tarde,Fines de semana,7225
2018,6,DOMINGO,11,Mañana,Fines de semana,7226
2018,6,LUNES,20,Noche,Dias laborables,7227
2018,6,MARTES,14,Tarde,Dias laborables,7228
2018,5,MARTES,11,Mañana,Dias laborables,7229
2018,5,MARTES,12,Tarde,Dias laborables,7230
2018,5,SÁBADO,8,Mañana,Fines de semana,7231
2018,6,MIÉRCOLES,17,Tarde,Dias laborables,7232
2018,6,MIÉRCOLES,16,Tarde,Dias laborables,7233
2018,6,MIÉRCOLES,13,Tarde,Dias laborables,7234
2018,6,MIÉRCOLES,11,Mañana,Dias laborables,7235
2018,5,MARTES,10,Mañana,Dias laborables,7236
2018,6,JUEVES,15,Tarde,Dias laborables,7237
2018,6,VIERNES,14,Tarde,Dias laborables,7238
2018,6,JUEVES,9,Mañana,Dias laborables,7239
2018,6,MIÉRCOLES,9,Mañana,Dias laborables,7240
2018,6,VIERNES,15,Tarde,Dias laborables,7241
2018,6,MIÉRCOLES,19,Noche,Dias laborables,7242
2018,5,MARTES,10,Mañana,Dias laborables,7243
2018,6,MARTES,17,Tarde,Dias laborables,7244
2018,6,MIÉRCOLES,15,Tarde,Dias laborables,7245
2018,5,JUEVES,18,Noche,Dias laborables,7246
2018,2,MIÉRCOLES,21,Noche,Dias laborables,7247
2018,1,VIERNES,22,Noche,Dias laborables,7248
2018,6,SÁBADO,0,Madrugada,Fines de semana,7249
2018,6,JUEVES,12,Tarde,Dias laborables,7250
2018,6,VIERNES,8,Mañana,Dias laborables,7251
2018,6,SÁBADO,15,Tarde,Fines de semana,7252
2018,6,MARTES,12,Tarde,Dias laborables,7253
2018,6,DOMINGO,13,Tarde,Fines de semana,7254
2018,6,LUNES,12,Tarde,Dias laborables,7255
2018,6,LUNES,11,Mañana,Dias laborables,7256
2018,6,MIÉRCOLES,11,Mañana,Dias laborables,7257
2018,4,VIERNES,19,Noche,Dias laborables,7258
2018,6,MARTES,9,Mañana,Dias laborables,7259
2018,6,VIERNES,9,Mañana,Dias laborables,7260
2018,6,JUEVES,19,Noche,Dias laborables,7261
2018,6,VIERNES,16,Tarde,Dias laborables,7262
2018,5,VIERNES,19,Noche,Dias laborables,7263
2018,5,MIÉRCOLES,13,Tarde,Dias laborables,7264
2018,6,VIERNES,12,Tarde,Dias laborables,7265
2018,6,JUEVES,11,Mañana,Dias laborables,7266
2018,6,VIERNES,16,Tarde,Dias laborables,7267
2018,6,LUNES,20,Noche,Dias laborables,7268
2018,6,SÁBADO,13,Tarde,Fines de semana,7269
2018,6,MARTES,8,Mañana,Dias laborables,7270
2018,6,MARTES,18,Noche,Dias laborables,7271
2018,6,MARTES,8,Mañana,Dias laborables,7272
2018,6,JUEVES,17,Tarde,Dias laborables,7273
2018,6,JUEVES,11,Mañana,Dias laborables,7274
2018,6,VIERNES,12,Tarde,Dias laborables,7275
2018,6,JUEVES,13,Tarde,Dias laborables,7276
2018,6,VIERNES,0,Madrugada,Dias laborables,7277
2018,6,JUEVES,2,Madrugada,Dias laborables,7278
2018,4,DOMINGO,5,Madrugada,Fines de semana,7279
2018,6,JUEVES,23,Noche,Dias laborables,7280
2018,5,SÁBADO,4,Madrugada,Fines de semana,7281
2018,6,SÁBADO,12,Tarde,Fines de semana,7282
2018,6,MARTES,7,Mañana,Dias laborables,7283
2018,6,JUEVES,21,Noche,Dias laborables,7284
2018,6,MIÉRCOLES,5,Madrugada,Dias laborables,7285
2018,6,JUEVES,11,Mañana,Dias laborables,7286
2018,6,MARTES,9,Mañana,Dias laborables,7287
2018,6,MIÉRCOLES,20,Noche,Dias laborables,7288
2018,5,DOMINGO,16,Tarde,Fines de semana,7289
2018,6,VIERNES,15,Tarde,Dias laborables,7290
2018,6,MARTES,9,Mañana,Dias laborables,7291
2018,6,JUEVES,13,Tarde,Dias laborables,7292
2018,6,SÁBADO,3,Madrugada,Fines de semana,7293
2018,6,VIERNES,23,Noche,Dias laborables,7294
2018,7,DOMINGO,0,Madrugada,Fines de semana,7295
2018,7,LUNES,0,Madrugada,Dias laborables,7296
